iter;tot_exp;exp_01;exp_07;exp_10
265;28995697936.1666;9305802411.12506;2733298940.51885;1352769572.09781
266;28828881516.7432;9287655282.76901;2736504616.35558;1356005371.42615
267;29042595295.5569;9315471980.99128;2754425505.97521;1343037430.10408
268;28508662630.5442;9293918759.53535;2694101656.38014;1336805691.92553
269;29137825633.8288;9320914604.63539;2711298597.37508;1372561307.17813
270;29113966372.9962;9303749582.90763;2773142296.06851;1360500732.85765
271;29133868003.4277;9282178274.5611;2700902186.68469;1353156022.93874
272;28817129676.1696;9275881162.63173;2748841643.75893;1376246251.45509
273;28926839544.3548;9273064563.09502;2714485762.29084;1368334501.69343
274;28601383528.4849;9300177867.91473;2786006601.75407;1351528068.87447
275;28974930650.742;9269896944.78011;2696792230.27737;1343611403.78762
276;28805879917.7012;9265193277.253;2752626173.37742;1365329556.01593
277;29118725998.3662;9325994946.7697;2727068530.65014;1355575526.38924
278;28924161856.71;9293980779.87548;2745725704.03583;1377480121.97378
279;28908761205.2382;9244775336.99696;2737608052.22083;1349051633.16303
280;29185923884.588;9255731984.94798;2744516828.08998;1356009931.61187
281;28752547632.537;9270588803.03855;2745026355.90907;1365476057.36268
282;28793378795.9203;9314722692.41321;2717030799.71173;1362659799.51125
283;29010686255.2031;9294538014.35409;2752563299.85734;1348755406.38755
284;28900719195.1664;9290499526.12051;2755905409.39694;1368529117.32574
285;28815568590.5583;9297220522.23438;2691594648.12419;1365944803.34282
286;28825344720.8415;9337963736.82351;2713627009.78115;1335401264.24769
287;28878634639.8183;9300129005.49465;2761099827.13866;1358404704.7156
288;28896446508.8249;9306253293.23385;2743027616.55538;1368130739.54943
289;28765539647.4592;9319274514.19755;2710543248.59629;1350827648.88993
290;28933375046.4529;9300607897.14639;2739018945.26032;1367210326.45574
291;29002845287.5153;9285907804.39034;2749993179.95906;1369467705.40356
292;28982287864.8225;9320814220.69982;2714253606.82866;1354537012.48282
293;28920204978.212;9298180939.15183;2718805144.54295;1350972333.57356
294;29217706479.1912;9286344448.16792;2700150528.79534;1354387596.79589
295;28963988847.371;9280417486.28813;2735386852.49627;1362048479.42585
296;29034699628.5503;9285641042.08364;2726754956.75078;1353305247.76835
297;29062463027.871;9311428813.34795;2758696378.34962;1358588296.06687
298;29035671433.8551;9314046709.78902;2699053604.38259;1367089802.62928
299;28906110381.3112;9283879574.28605;2713081945.24613;1352542451.44864
300;29160920010.9666;9267374123.63374;2752690195.21488;1375098034.09322
301;28955323204.2438;9260825340.04327;2724120611.82827;1372383306.48395
302;28765359669.0815;9316005703.10241;2730910562.92471;1360671542.29591
303;28777893783.8871;9279958262.3044;2765715077.98408;1352722901.16116
304;28809369983.5783;9276211998.33915;2724261165.60392;1368216732.30033
305;29094249883.6507;9280933265.07531;2697309715.89463;1371318575.48529
306;28714976448.5396;9252961714.32366;2727366684.07838;1353340709.205
307;28794592220.7884;9292625226.84358;2737864544.91764;1360921632.17772
308;28944430630.0508;9272973382.88195;2760591503.72561;1345796584.85842
309;28836192042.4978;9263352535.94295;2730711588.81908;1366775918.07798
310;28718902355.1792;9314338198.77297;2707809444.89678;1339857855.13878
311;28817035532.3432;9308572589.53999;2718297255.75151;1339052253.62052
312;29108337075.3583;9300935628.34001;2763267623.80858;1343823882.14
313;28653619670.9777;9249136011.05036;2701415801.6332;1366908733.08861
314;29112066379.6646;9261851009.9978;2709881211.49088;1353218156.95621
315;28992469402.8569;9333374392.8794;2765814446.43983;1374064216.69515
316;28762867511.1553;9267704455.1015;2756706264.48408;1354736640.26844
317;29056224583.4791;9327970614.65805;2755508031.19247;1355796564.78043
318;28918350728.3271;9357714075.45231;2740739817.22518;1355659713.33738
319;28922891692.66;9315034228.4012;2776762332.06396;1356421724.94234
320;28939732845.8512;9323340573.21143;2749993056.42453;1361912467.43312
321;29200632491.9118;9319620581.98827;2770326082.95774;1370844270.87895
322;28971793615.3407;9294661256.98242;2749885000.51668;1347336805.71074
323;28677196889.2652;9250733833.80995;2702763671.93599;1345453363.03594
324;28717702578.5457;9297256720.13966;2756082918.87295;1338840409.69129
325;28917806317.4399;9287528794.33924;2719388790.14192;1372542532.79242
326;28720842348.6223;9309063312.46048;2717233185.48173;1365440346.56979
327;29115999204.945;9268282289.19961;2713522714.62634;1347200782.74633
328;28838524337.7636;9301577686.06625;2697554819.23731;1362854450.86116
329;28887183279.9458;9279472840.88586;2770205932.66431;1350568100.49284
330;28891540336.0741;9296773627.28604;2693228640.32605;1369711009.8424
331;28821177565.3244;9285555147.4306;2731868082.91885;1358312443.35682
332;28774003978.8639;9253785345.16804;2746130260.50646;1367613837.82215
333;29032888112.3753;9270823938.14353;2727199165.54716;1350159595.40219
334;29105754957.6504;9295520273.54062;2749178755.01271;1358965119.55185
335;28937851702.7152;9267807818.57286;2767816572.80395;1361697826.02776
336;28678103347.3027;9276940990.80812;2717906359.24951;1363144190.62911
337;28710593376.3088;9311345271.91238;2723575119.06431;1363852360.67611
338;29185145157.6507;9272269257.61113;2734253461.06659;1361129557.36516
339;28687184157.9027;9253812622.70984;2720408490.44955;1354017158.38558
340;29018407496.0632;9267965302.88412;2728934313.349;1359317808.09153
341;28874717864.1684;9304688298.68834;2758812367.84057;1352950665.05454
342;28807341937.6213;9314837684.42168;2716595399.33262;1365166807.89618
343;28907364139.57;9236462343.78784;2741555202.6245;1341891825.76724
344;28709581025.9379;9314109638.15521;2753399174.84156;1367805114.93947
345;29062117178.02;9314982019.56468;2744445151.21615;1367121113.45901
346;29073166741.8569;9323657896.02463;2720898150.07828;1347351893.31426
347;29077939571.8805;9282993055.29142;2809487041.3007;1370318960.36933
348;29107723856.6869;9320378684.33271;2730127428.82408;1360567052.44926
349;28955336893.169;9284945580.42814;2703899877.94799;1359608641.65516
350;29102674918.1935;9297714805.49521;2686688042.53132;1351991109.66079
351;29021354820.6369;9350753555.54312;2741192040.17831;1347048507.95046
352;28944134554.3579;9315147858.69689;2695600913.31898;1373619758.10488
353;28992508153.4123;9314165041.48095;2706576231.25563;1368597684.86807
354;28747471998.4102;9286777994.28169;2793850208.59729;1373370788.54427
355;28975573386.7913;9282742545.37154;2731690002.52533;1371456238.25395
356;28917738175.2096;9261828429.31355;2753643048.97374;1353646094.88729
357;29046188417.9028;9233173834.4542;2734367936.68185;1376171089.86315
358;29185418858.6289;9286680554.47142;2714448010.19052;1346218760.02565
359;28739052949.413;9306652914.07802;2735600485.09689;1353867935.92357
360;28740082436.0021;9288971780.50162;2716388022.27717;1360724386.74505
361;29068686512.3672;9282325390.4175;2792377223.52358;1372660966.16335
362;28912478307.06;9268767939.35091;2748481147.54247;1350203184.42445
363;29015567292.2764;9329134128.29597;2737434788.54807;1372160070.79287
364;28989625822.206;9339343256.63002;2689210299.70538;1378637126.74519
365;29004906485.7063;9288955177.9814;2711782862.9855;1365306642.93151
366;29023021588.0571;9286060534.72723;2740603371.59037;1357661198.45117
367;28924796550.2666;9331044190.5464;2732586447.56987;1365750513.23759
368;28794353818.6735;9305674538.9254;2762399925.24155;1364284948.87133
369;28993993623.9615;9275297239.10195;2725337122.2736;1345005890.11837
370;28840053304.2776;9294116190.78364;2727967905.50917;1360123426.47115
371;28805427144.9703;9289169316.57893;2741322792.28354;1345010558.91948
372;28917007964.6673;9290196081.38789;2726061295.67616;1365411409.49459
373;29091999339.5245;9295005947.10855;2726561779.74055;1358646659.91193
374;28888298838.3803;9291932966.86606;2739497899.69131;1342376040.2163
375;28735015153.8683;9285716014.66023;2732020720.27537;1352333038.73821
376;28798925983.6407;9331073486.33763;2750251892.92698;1359574199.25228
377;28703678265.6896;9318583011.89067;2776889842.62897;1363433133.14292
378;28937786158.8272;9277300738.77313;2724463489.74804;1336929389.33725
379;28836311431.7899;9263021767.47325;2746598543.00744;1356279928.5128
380;28857901853.8589;9299427385.1632;2751373760.9077;1363601405.45598
381;28872045730.9138;9314066273.13253;2722592892.93624;1342154419.47331
